,Name,Allocation
56,BHP Group Plc,0.32%
57,UBS Group AG,0.32%
58,"Honda Motor Co., Ltd.",0.31%
59,Nidec Corporation,0.31%
60,Lonza Group AG,0.31%
61,Kering SA,0.31%
62,Westpac Banking Corporation,0.31%
63,Koninklijke Philips N.V.,0.31%
64,Deutsche Post AG,0.31%
65,Daimler AG,0.31%
66,RELX PLC,0.31%
67,Prosus N.V. Class N,0.30%
68,Danone SA,0.29%
69,National Grid plc,0.29%
70,Adyen NV,0.29%
71,National Australia Bank Limited,0.28%
72,Tokyo Electron Ltd.,0.28%
73,Prudential plc,0.28%
74,Wesfarmers Limited,0.28%
75,Vodafone Group Plc,0.27%
76,Munich Reinsurance Company,0.27%
77,AXA SA,0.27%
78,"Sumitomo Mitsui Financial Group, Inc.",0.27%
79,Itochu Corporation,0.27%
80,Safran S.A.,0.27%
81,EssilorLuxottica SA,0.27%
82,"Murata Manufacturing Co., Ltd.",0.26%
83,"FAST RETAILING CO., LTD.",0.26%
84,Vonovia SE,0.26%
85,SMC Corporation,0.26%
86,Australia and New Zealand Banking Group Limited,0.26%
87,Pernod Ricard SA,0.26%
88,Banco Santander S.A.,0.25%
89,London Stock Exchange Group plc,0.25%
90,Woolworths Group Ltd,0.25%
91,Intesa Sanpaolo S.p.A.,0.25%
92,Kao Corp.,0.25%
93,HOYA CORPORATION,0.25%
94,Infineon Technologies AG,0.24%
95,Deutsche Boerse AG,0.24%
96,Kone Oyj Class B,0.24%
97,Compagnie Financiere Richemont SA,0.23%
98,"Mizuho Financial Group, Inc.",0.23%
99,"NTT DoCoMo, Inc.",0.23%
100,Royal Ahold Delhaize N.V.,0.23%
101,Experian PLC,0.23%
102,Fanuc Corporation,0.23%
103,Sika AG,0.23%
104,Givaudan SA,0.23%
105,Mitsubishi Corporation,0.22%
106,Anglo American plc,0.22%
107,"Hitachi,Ltd.",0.22%
108,ING Groep NV,0.22%
109,"Tokio Marine Holdings, Inc.",0.21%
110,Nippon Telegraph and Telephone Corporation,0.21%
111,Volvo AB Class B,0.21%
112,Telefonaktiebolaget LM Ericsson Class B,0.21%
113,DSV Panalpina A/S,0.21%
114,Macquarie Group Limited,0.21%
115,CRH Plc,0.21%
116,Volkswagen AG Pref,0.21%
117,"Industria de Diseno Textil, S.A.",0.20%
118,Atlas Copco AB Class A,0.20%
119,Vestas Wind Systems A/S,0.20%
120,Hermes International SCA,0.20%
121,Mitsubishi Electric Corp.,0.20%
122,Investor AB Class B,0.20%
123,"Oriental Land Co., Ltd.",0.20%
124,"Chugai Pharmaceutical Co., Ltd.",0.20%
125,Koninklijke DSM N.V.,0.20%
126,"Mitsui & Co.,Ltd",0.20%
127,Central Japan Railway Company,0.20%
128,Compass Group PLC,0.19%
129,Tesco PLC,0.19%
130,"Alcon, Inc.",0.19%
131,Nokia Oyj,0.19%
132,Terumo Corporation,0.19%
133,Astellas Pharma Inc.,0.19%
134,Credit Suisse Group AG,0.18%
135,Rio Tinto Limited,0.18%
136,DBS Group Holdings Ltd,0.18%
137,Transurban Group Ltd.,0.18%
138,RWE AG,0.18%
139,"Eisai Co., Ltd.",0.18%
140,Lloyds Banking Group plc,0.18%
141,Nordea Bank Abp,0.18%
142,E.ON SE,0.18%
143,Olympus Corp.,0.18%
144,Amadeus IT Group SA Class A,0.18%
145,"M3, Inc.",0.17%
146,Dassault Systemes SA,0.17%
147,"Seven & I Holdings Co., Ltd.",0.17%
148,Ferrari NV,0.17%
149,Fujitsu Limited,0.17%
150,Oversea-Chinese Banking Corporation Limited,0.17%
151,"Otsuka Holdings Co., Ltd.",0.17%
152,ENGIE SA,0.17%
153,Glencore plc,0.16%
154,Genmab A/S,0.16%
155,Eni S.p.A.,0.16%
156,Orsted,0.16%
157,Fortescue Metals Group Ltd,0.16%
158,Barclays PLC,0.16%
159,Swiss Re AG,0.16%
160,East Japan Railway Company,0.16%
161,Flutter Entertainment Plc,0.16%
162,LafargeHolcim Ltd.,0.16%
163,ASSA ABLOY AB Class B,0.16%
164,Vivendi SA,0.16%
165,"Shiseido Company,Limited",0.15%
166,Ferguson Plc,0.15%
167,Neste Corporation,0.15%
168,Wolters Kluwer NV,0.15%
169,Bayerische Motoren Werke AG,0.15%
170,SoftBank Corp.,0.15%
171,Legrand SA,0.15%
172,BAE Systems plc,0.15%
173,Heineken NV,0.15%
174,Compagnie de Saint-Gobain SA,0.15%
175,Capgemini SE,0.15%
176,Sandvik AB,0.15%
177,"AEON Co., Ltd.",0.15%
178,Goodman Group,0.15%
179,Orange SA,0.15%
180,"Techtronic Industries Co., Ltd.",0.15%
181,Geberit AG,0.15%
182,Cellnex Telecom S.A.,0.15%
183,Essity AB Class B,0.14%
184,"Mitsubishi Estate Company, Limited",0.14%
185,DENSO CORPORATION,0.14%
186,Panasonic Corporation,0.14%
187,Japan Tobacco Inc.,0.14%
188,Komatsu Ltd.,0.14%
189,Kubota Corporation,0.14%
190,Compagnie Generale des Etablissements Michelin SCA,0.14%
191,UniCredit S.p.A.,0.14%
192,Galaxy Entertainment Group Limited,0.14%
193,Kyocera Corporation,0.14%
194,Deutsche Bank AG,0.14%
195,"Secom Co., Ltd.",0.14%
196,Hexagon AB Class B,0.14%
197,"Banco Bilbao Vizcaya Argentaria, S.A.",0.14%
198,United Overseas Bank Ltd. (Singapore),0.14%
199,Sampo Oyj Class A,0.14%
200,Kerry Group Plc Class A,0.14%
201,STMicroelectronics NV,0.13%
202,FUJIFILM Holdings Corp,0.13%
203,Ocado Group PLC,0.13%
204,Bridgestone Corporation,0.13%
205,Coloplast A/S Class B,0.13%
206,KBC Group N.V.,0.13%
207,Assicurazioni Generali S.p.A.,0.13%
208,Unicharm Corporation,0.13%
209,Shimano Inc.,0.13%
210,Akzo Nobel N.V.,0.13%
211,Fresenius SE & Co. KGaA,0.13%
212,Deutsche Wohnen SE,0.13%
213,Partners Group Holding AG,0.13%
214,Newcrest Mining Limited,0.13%
215,Canon Inc.,0.13%
216,"Nitori Holdings Co., Ltd.",0.13%
217,Henkel AG & Co. KGaA Pref,0.13%
218,Telefonica SA,0.13%
219,Suzuki Motor Corp.,0.12%
220,Fresenius Medical Care AG & Co. KGaA,0.12%
221,Z Holdings Corporation,0.12%
222,Teleperformance SE,0.12%
223,Smith & Nephew plc,0.12%
224,Equinor ASA,0.12%
225,CK Hutchison Holdings Ltd,0.12%
226,SSE plc,0.12%
227,Merck KGaA,0.12%
228,Symrise AG,0.12%
229,"Kirin Holdings Company, Limited",0.12%
230,"Daiwa House Industry Co., Ltd.",0.12%
231,"Dai-ichi Life Holdings,Inc.",0.12%
232,Legal & General Group Plc,0.12%
233,NIPPON PAINT HOLDINGS CO.LTD.,0.12%
234,"Mitsui Fudosan Co., Ltd.",0.12%
235,"Nomura Holdings, Inc.",0.12%
236,CLP Holdings Limited,0.11%
237,"Shionogi & Co., Ltd.",0.11%
238,Coles Group Ltd.,0.11%
239,Link Real Estate Investment Trust,0.11%
240,ORIX Corporation,0.11%
241,UPM-Kymmene Oyj,0.11%
242,Imperial Brands PLC,0.11%
243,Skandinaviska Enskilda Banken AB Class A,0.11%
244,Ashtead Group plc,0.11%
245,Atlas Copco AB Class B,0.11%
246,Swedbank AB Class A,0.11%
247,Svenska Handelsbanken AB Class A,0.10%
248,"Asahi Group Holdings,Ltd.",0.10%
249,"ONO Pharmaceutical Co., Ltd.",0.10%
250,Afterpay Limited,0.10%
251,OMRON Corporation,0.10%
252,SEGRO plc,0.10%
253,Delivery Hero SE,0.10%
254,UCB S.A.,0.10%
255,Aviva plc,0.10%
256,Sumitomo Corporation,0.10%
257,Hong Kong & China Gas Co. Ltd.,0.10%
258,NICE Ltd,0.10%
259,DNB ASA,0.10%
260,Carlsberg A/S Class B,0.10%
261,Swisscom AG,0.10%
262,Pan Pacific International Holdings Corporation,0.10%
263,Sysmex Corporation,0.10%
264,Fisher & Paykel Healthcare Corporation Limited,0.10%
265,Sartorius AG Pref,0.10%
266,EDP-Energias de Portugal SA,0.10%
267,NEC Corp.,0.10%
268,TDK Corporation,0.09%
269,Singapore Telecommunications Limited,0.09%
270,"Japan Exchange Group, Inc.",0.09%
271,CK Asset Holdings Limited,0.09%
272,Swiss Life Holding AG,0.09%
273,Aristocrat Leisure Limited,0.09%
274,"Sumitomo Realty & Development Co., Ltd.",0.09%
275,BANDAI NAMCO Holdings Inc.,0.09%
276,SGS SA,0.09%
277,Standard Chartered PLC,0.09%
278,"Sompo Holdings,Inc.",0.09%
279,Woodside Petroleum Ltd,0.09%
280,"MS&AD Insurance Group Holdings, Inc.",0.09%
281,Toshiba Corporation,0.09%
282,"Ferrovial, S.A.",0.09%
283,Jardine Matheson Holdings Limited,0.09%
284,Makita Corporation,0.09%
285,Kingspan Group Plc,0.09%
286,Rentokil Initial plc,0.09%
287,Societe Generale S.A. Class A,0.09%
288,Credit Agricole SA,0.09%
289,SUBARU CORP,0.09%
290,Sonova Holding AG,0.09%
291,"Sekisui House, Ltd.",0.09%
292,"ENEOS Holdings, Inc.",0.09%
293,Veolia Environnement SA,0.09%
294,ASX Limited,0.09%
295,Intertek Group plc,0.09%
296,H&M Hennes & Mauritz AB Class B,0.09%
297,Swedish Match AB,0.09%
298,Brambles Limited,0.08%
299,Edenred SA,0.08%
300,Fiat Chrysler Automobiles N.V.,0.08%
301,BT Group plc,0.08%
302,Novozymes A/S Class B,0.08%
303,"OBIC Co., Ltd.",0.08%
304,3i Group plc,0.08%
305,"Meiji Holdings Co., Ltd.",0.08%
306,Repsol SA,0.08%
307,Toyota Industries Corp.,0.08%
308,HAL Trust,0.08%
309,Chr. Hansen Holding A/S,0.08%
310,Continental AG,0.08%
311,Asahi Kasei Corporation,0.08%
312,"Daifuku Co., Ltd.",0.08%
313,QIAGEN NV,0.08%
314,Zalando SE,0.08%
315,"SG Holdings Co., Ltd.",0.08%
316,Sonic Healthcare Limited,0.08%
317,Beiersdorf AG,0.08%
318,"Hang Seng Bank, Limited",0.08%
319,Snam S.p.A.,0.08%
320,Halma plc,0.08%
321,QBE Insurance Group Limited,0.08%
322,Sage Group plc,0.08%
323,Straumann Holding AG,0.08%
324,InterContinental Hotels Group PLC,0.07%
325,Bunzl plc,0.07%
326,Persimmon Plc,0.07%
327,"NEXON Co., Ltd.",0.07%
328,"JAPAN POST HOLDINGS Co., Ltd.",0.07%
329,Alstom SA,0.07%
330,"Yamato Holdings Co., Ltd.",0.07%
331,arGEN-X SE,0.07%
332,Schindler Holding AG Pref,0.07%
333,WPP Plc,0.07%
334,Telenor ASA,0.07%
335,Aena SME SA,0.07%
336,Next plc,0.07%
337,"Nomura Research Institute,Ltd.",0.07%
338,Danske Bank A/S,0.07%
339,Julius Baer Gruppe AG,0.07%
340,Groupe Bruxelles Lambert SA,0.07%
341,Sands China Ltd.,0.07%
342,Croda International Plc,0.07%
343,"Sumitomo Mitsui Trust Holdings, Inc.",0.07%
344,"Ajinomoto Co., Inc.",0.07%
345,Teva Pharmaceutical Industries Limited,0.07%
346,James Hardie Industries PLC Chess Units of Foreign Securities,0.07%
347,NIBE Industrier AB Class B,0.07%
348,Kikkoman Corporation,0.07%
349,Temenos AG,0.07%
350,NN Group N.V.,0.07%
351,Hannover Ruck SE,0.07%
352,Terna S.p.A.,0.07%
353,Bouygues SA,0.07%
354,GN Store Nord A/S,0.07%
355,Spirax-Sarco Engineering PLC,0.07%
356,MTU Aero Engines AG,0.07%
357,Telia Company AB,0.07%
358,a2 Milk Company Ltd.,0.07%
359,Wilmar International Limited,0.07%
360,Peugeot SA,0.07%
361,Eurofins Scientific Societe Europeenne,0.07%
362,A.P. Moller - Maersk A/S Class B,0.07%
363,Kuehne & Nagel International AG,0.07%
364,Nitto Denko Corp.,0.07%
365,Brenntag AG,0.07%
366,Associated British Foods plc,0.07%
367,Yaskawa Electric Corporation,0.07%
368,Marubeni Corporation,0.07%
369,"Nissan Motor Co., Ltd.",0.06%
